,Prov.Id,Prov.State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 074,DRG Charges 101,DRG Charges 149,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 203,DRG Charges 207,DRG Charges 208,DRG Charges 238,DRG Charges 243,DRG Charges 244,DRG Charges 246,DRG Charges 247,DRG Charges 249,DRG Charges 251,DRG Charges 252,DRG Charges 253,DRG Charges 254,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 300,DRG Charges 301,DRG Charges 303,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 379,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 394,DRG Charges 418,DRG Charges 419,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 491,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 684,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 885,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948
360,150126,IN,25106.11,18612.56,34227.33,26238.25,22073.17,18779.0,,15434.22,14642.24,22507.86,35367.76,24662.95,26891.22,24269.76,16282.6,12836.51,25004.07,17467.27,13502.37,15416.15,11188.46,,56962.73,64733.27,45543.5,44189.08,,45666.97,48536.77,39414.72,,45148.13,29093.62,34992.84,18441.3,18546.63,,22012.78,25746.45,16622.48,12588.65,15056.53,8985.5,11062.3,,22271.94,13052.5,8457.22,13784.46,8309.24,28764.64,12973.73,75312.72,42781.12,15106.88,39100.33,14924.03,10770.92,19337.6,11002.36,17788.38,12163.07,13591.37,30434.75,,,63608.0,,33123.97,,51002.46,31869.87,26899.53,,13201.56,16616.86,12172.85,32106.25,14475.41,18251.52,21258.79,12838.62,27372.4,17842.86,13257.73,23120.45,14705.23,26588.0,16302.78,20598.69,12769.76,60270.35,,36217.97,22282.91,14545.84,,,11962.58,13398.32
361,150128,IN,26619.63,,26964.94,23884.27,16105.09,16042.52,,12339.38,,21936.81,32156.56,,23818.44,21529.95,16378.43,13828.51,26136.67,15490.33,13342.39,,,93586.66,39625.65,,55684.0,42919.23,,63741.24,54618.74,,,42018.0,,26938.09,,,41997.3,27973.33,25088.75,16803.95,13014.6,16517.14,,15300.62,,21983.82,14626.71,11142.48,13662.05,14729.78,29602.18,,86436.0,45205.88,18747.92,21669.05,19416.63,11241.5,20279.88,,19011.76,15627.44,,,,13602.62,108670.69,60314.0,50199.63,,,36970.08,,,12464.18,21043.33,,,16080.93,16997.23,21084.27,12030.41,31601.17,16609.42,,16506.7,14608.61,,14747.54,,14895.47,94701.81,117659.36,30443.53,16448.91,,,15835.09,,
362,150153,IN,25252.5,,,,,,,,,,,,,,,,,,,,,,,78798.56,54617.88,42673.03,70316.43,51953.86,46509.1,42506.97,,40471.0,33467.26,39548.29,28669.56,26574.63,46945.21,28462.87,32796.4,23598.91,17489.38,,,13595.8,,26054.48,19752.25,14732.6,14408.83,16445.23,,17351.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,150154,IN,21765.47,,,,,,,,,,,,19000.33,,,,,,,,,,40733.0,72899.75,50761.85,43803.39,77167.2,54346.8,45646.98,49189.63,98841.95,77320.22,46176.22,42376.81,,,36465.51,31000.08,24508.97,18117.33,14301.07,13131.07,,15464.33,,22091.65,14339.47,11327.15,14624.46,15253.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15042.91,,,,,,,,,,,,,,,,
364,150162,IN,25852.4,,,26723.92,,18569.35,,,13817.33,25423.18,36438.21,21644.46,26311.86,20934.53,21476.1,15133.65,23647.04,22202.6,15155.12,,,82165.5,55617.35,58996.25,71612.77,59299.42,83969.34,55193.2,54423.26,50006.06,80402.06,48518.48,39587.52,40149.04,23801.04,24541.08,36327.81,25905.15,30251.57,18560.45,13930.11,19656.46,,14863.31,14840.0,31687.62,15311.31,12908.46,14743.67,15039.05,48408.4,,,54498.72,,27230.3,20839.29,15139.18,18514.3,,,17248.53,20832.5,31725.75,24253.11,,,,,,,,,,,,,,15469.75,,,14692.02,43756.9,21734.85,18392.46,24335.92,15388.28,,,,17037.17,,,39767.62,21349.36,,,,,16344.36
365,150164,IN,32063.18,,,,,,,,,,,,,,,14644.81,,23882.11,14747.43,,,,,,,,,,,,,,,,,,,,,16341.53,12379.61,,,,,,,,,,,,,62543.27,,,,18339.5,,,,12537.25,,,,,90991.55,,63891.75,,,,,,,,,,,,,10795.04,,,,,,,,,,,,,,,,,,
366,150173,IN,30401.78,18389.25,43700.1,32927.11,28494.0,21617.6,,,,,38558.5,30437.12,32541.35,29277.17,23050.23,15394.13,34912.52,24531.75,17058.4,20303.42,,92984.25,59004.37,73936.73,,,88712.83,73323.33,59782.47,,,69716.06,54414.47,37788.34,27047.25,,,32656.56,32416.73,22616.62,15187.66,27735.54,,,18880.92,38092.8,17686.38,13341.22,19986.06,18091.53,32121.0,25849.85,127488.85,66784.57,33176.15,51329.1,23904.25,18625.34,24580.07,23673.85,33981.42,20696.3,25402.76,,,,130111.26,,65345.5,59153.78,65826.41,48913.63,,38926.75,15755.66,25428.75,,,18096.04,17565.42,36871.56,18056.17,36897.39,21939.89,,29660.94,24085.34,33562.61,,,19776.72,116925.6,,41613.0,27948.34,,,,,20029.71
367,150175,IN,20321.7,,,,,,,,,,,,,,,,,,,,,,,,39462.8,30500.37,,43039.86,43093.46,49069.41,,,,39236.92,23681.0,20449.76,30843.41,21888.87,,11517.13,10543.93,,,,,11660.42,10396.73,8339.41,,7420.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,160016,IA,18783.42,,,23598.96,15323.38,,,,,18978.23,34617.04,19146.07,20710.76,17735.97,16310.37,10931.72,31387.13,16820.98,15468.36,,,,44212.63,,51227.57,37838.07,79674.28,47009.69,33520.2,,,,31612.85,35103.44,17236.06,,35330.71,19227.57,22959.06,16920.83,12205.37,,,12037.08,9558.09,18175.38,13548.66,10122.32,14065.53,10696.42,29791.0,,,,13885.66,23618.15,15225.88,11505.95,15268.08,,,15110.69,,,,,,,35630.28,,,33583.33,,,,15788.63,,,15305.56,,,10286.86,26265.65,17474.87,9039.61,19451.9,14173.06,,,,,,,32015.88,17090.06,,12792.72,,9100.25,
369,160033,IA,18283.08,12201.88,26768.02,19093.45,12540.76,13019.33,18129.83,9806.0,13011.06,15310.62,26991.85,20499.22,21740.78,16680.04,13065.1,10953.81,21926.3,13685.99,10977.62,12591.96,,124859.26,40611.5,96477.94,46003.83,37175.66,63138.88,40269.94,35512.52,35055.73,,53124.75,53042.4,35227.17,19744.11,15105.4,39171.88,19699.12,23968.35,15834.7,11223.38,13505.83,,,10448.16,20153.09,12188.26,8037.64,12748.52,11138.18,26199.5,12554.11,86794.6,41939.88,15095.22,26707.13,14173.88,9219.47,13463.92,9887.33,16397.88,11297.62,16604.96,24867.66,22641.57,15442.17,,46631.71,36592.05,,46658.52,32654.68,,17099.79,9719.62,11431.11,11990.5,19032.74,11161.95,10858.12,19350.24,9688.54,27589.17,14963.51,,13510.7,10458.14,23321.1,17774.83,14231.66,11314.8,52861.33,124228.18,28761.92,16707.4,,8394.47,16326.6,6813.2,
